Year,Title,DOI,DOI_Link,Authors
2025,Modeling scabies transmission dynamics: a stochastic approach with spectral collocation and neural network insights,10.1140/epjp/s13360-025-06025-5,http://dx.doi.org/10.1140/epjp/s13360-025-06025-5,"Shah, Jamal; Khan, Hameed; Ismail, Emad A. A.; Awaad, Fuad A.; Kumar, Abhinav"
2024,Artificial neural networks for stability analysis and simulation of delayed rabies spread models,10.3934/math.20241599,http://dx.doi.org/10.3934/math.20241599,"Shafqat, Ramsha; Alsaadi, Ateq"
2024,Development and Application of an In Vitro Drug Screening Assay for Schistosoma mansoni Schistosomula Using YOLOv5,10.3390/biomedicines12122894,http://dx.doi.org/10.3390/biomedicines12122894,"Villamizar-Monsalve, Maria Alejandra; Sanchez-Montejo, Javier; Lopez-Aban, Julio; Vicente, Belen; Marin, Miguel; Fernandez-Ceballos, Noelia; Pelaez, Rafael; Muro, Antonio"
2024,Hybrid Machine Learning Approach to Zero-Inflated Data Improves Accuracy of Dengue Prediction,10.1371/journal.pntd.0012599,http://dx.doi.org/10.1371/journal.pntd.0012599,"Francisco, Micanaldo Ernesto; Carvajal, Thaddeus M.; Watanabe, Kozo"
2024,Support Vector Machine Outperforms Other Machine Learning Models in Early Diagnosis of Dengue Using Routine Clinical Data,10.1155/2024/5588127,http://dx.doi.org/10.1155/2024/5588127,"Qaiser, Ariba; Manzoor, Sobia; Hashmi, Asraf Hussain; Javed, Hasnain; Zafar, Anam; Ashraf, Javed"
2023,Deep Learning-Based Segmentation of Trypanosoma cruzi Nests in Histopathological Images,10.3390/electronics12194144,http://dx.doi.org/10.3390/electronics12194144,"Hevia-Montiel, Nidiyare; Haro, Paulina; Guillermo-Cordero, Leonardo; Perez-Gonzalez, Jorge"
2022,Automated diagnosis of schistosomiasis by using faster R-CNN for egg detection in microscopy images prepared by the Kato-Katz technique,10.1007/s00521-022-06924-z,http://dx.doi.org/10.1007/s00521-022-06924-z,"Soares Oliveira, Bruno Alberto; Peixoto Moreira, Joao Marcelo; Silva Coelho, Paulo Ricardo; Negrao-Correa, Deborah Aparecida; Geiger, Stefan Michael; Guimaraes, Frederico Gadelha"
2022,Machine learning algorithms for dengue risk assessment: a case study for Sao Luis do Maranhao,10.1007/s40314-022-02101-z,http://dx.doi.org/10.1007/s40314-022-02101-z,"Rocha, Fernanda Paula; Giesbrecht, Mateus"
2021,Forecasting Dengue Hotspots Associated With Variation in Meteorological Parameters Using Regression and Time Series Models,10.3389/fpubh.2021.798034,http://dx.doi.org/10.3389/fpubh.2021.798034,"Patil, Seema; Pandya, Sharnil"
2020,Single cell immune profiling of dengue virus patients reveals intact immune responses to Zika virus with enrichment of innate immune signatures,10.1371/journal.pntd.0008112,http://dx.doi.org/10.1371/journal.pntd.0008112,"Zhao, Yujiao; Amodio, Matthew; Vander Wyk, Brent; Gerritsen, Bram; Kumar, Mahesh M.; van Dijk, David; Moon, Kevin; Wang, Xiaomei; Malawista, Anna; Richards, Monique M.; Cahill, Megan E.; Desai, Anita; Sivadasan, Jayasree; Venkataswamy, Manjunatha M.; Ravi, Vasanthapuram; Fikrig, Erol; Kumar, Priti; Kleinstein, Steven H.; Krishnaswamy, Smita; Montgomery, Ruth R."
2019,Cross-serotype interactions and disease outcome prediction of dengue infections in Vietnam,10.1038/s41598-019-45816-6,http://dx.doi.org/10.1038/s41598-019-45816-6,"Aguas, R.; Dorigatti, I.; Coudeville, L.; Luxemburger, C.; Ferguson, N. M."
2018,A Gaussian process based big data processing framework in cluster computing environment,10.1007/s10586-017-0982-5,http://dx.doi.org/10.1007/s10586-017-0982-5,"Manogaran, Gunasekaran; Lopez, Daphne"
2018,Building protein-protein interaction networks for Leishmania species through protein structural information,10.1186/s12859-018-2105-6,http://dx.doi.org/10.1186/s12859-018-2105-6,"dos Santos Vasconcelos, Crhisllane Rafaele; Campos, Tulio de Lima; Rezende, Antonio Mauro"
2018,Environmental suitability for lymphatic filariasis in Nigeria,10.1186/s13071-018-3097-9,http://dx.doi.org/10.1186/s13071-018-3097-9,"Eneanya, Obiora A.; Cano, Jorge; Dorigatti, Ilaria; Anagbogu, Ifeoma; Okoronkwo, Chukwu; Garske, Tini; Donnelly, Christl A."
2024,A Comparative Study between Time Series and Machine Learning Technique to Predict Dengue Fever in Dhaka City,10.1155/2024/2757381,http://dx.doi.org/10.1155/2024/2757381,"Akter, Tanzina; Islam, Md. Tanvirul; Hossain, Md. Farhad; Ullah, Mohammad Safi"
2024,A deep learning-based model for detecting Leishmania amastigotes in microscopic slides: a new approach to telemedicine,10.1186/s12879-024-09428-4,http://dx.doi.org/10.1186/s12879-024-09428-4,"Sadeghi, Alireza; Sadeghi, Mahdieh; Fakhar, Mahdi; Zakariaei, Zakaria; Sadeghi, Mohammadreza; Bastani, Reza"
2024,A reproducible ensemble machine learning approach to forecast dengue outbreaks,10.1038/s41598-024-52796-9,http://dx.doi.org/10.1038/s41598-024-52796-9,"Sebastianelli, Alessandro; Spiller, Dario; Carmo, Raquel; Wheeler, James; Nowakowski, Artur; Jacobson, Ludmilla Viana; Kim, Dohyung; Barlevi, Hanoch; Cordero, Zoraya El Raiss; Colon-Gonzalez, Felipe J.; Lowe, Rachel; Ullo, Silvia Liberata; Schneider, Rochelle"
2024,Adaptive feature selection for active trachoma image classification,10.1016/j.knosys.2024.111764,http://dx.doi.org/10.1016/j.knosys.2024.111764,"Zewudie, Mulugeta Shitie; Xiong, Shengwu; Yu, Xiaohan; Wu, Xiaoyu; Mehamed, Moges Ahmed"
2024,An Explainable Artificial Intelligence Integrated System for Automatic Detection of Dengue From Images of Blood Smears Using Transfer Learning,10.1109/ACCESS.2024.3378516,http://dx.doi.org/10.1109/ACCESS.2024.3378516,"Mayrose, Hilda; Sampathila, Niranjana; Bairy, G. Muralidhar; Nayak, Tushar; Belurkar, Sushma; Saravu, Kavitha"
2024,"Cellphone picture-based, genus-level automated identification of Chagas disease vectors: Effects of picture orientation on the performance of five machine-learning algorithms",10.1016/j.ecoinf.2023.102430,http://dx.doi.org/10.1016/j.ecoinf.2023.102430,"de Miranda, Vinicius Lima; de Souza, Ewerton Pacheco; Bambil, Deborah; Khalighifar, Ali; Peterson, A. Townsend; Nascimento, Francisco Assis de Oliveira; Gurgel-Goncalves, Rodrigo; Abad-Franch, Fernando"
2024,Chagas parasite classification in blood sample images using different machine learning architectures,10.1007/s11517-023-02926-8,http://dx.doi.org/10.1007/s11517-023-02926-8,"Rada, Lavdie; Kumar, Preet; Martin-Gonzalez, Anabel; Brito-Loeza, Carlos"
2024,Contribution of artificial intelligence for understanding animal rabies epidemiology in Morocco: What are the perspectives of an innovative and predictive approaches?,10.1016/j.onehlt.2024.100874,http://dx.doi.org/10.1016/j.onehlt.2024.100874,"Ahamjik, Ilham; Agbani, Ayman; Abik, Mounia; Khayli, Mounir; Galzim, Naima; Berrada, Jaouad; Bouslikhane, Mohammed"
2024,Deep humoral profiling coupled to interpretable machine learning unveils diagnostic markers and pathophysiology of schistosomiasis,10.1126/scitranslmed.adk7832,http://dx.doi.org/10.1126/scitranslmed.adk7832,"Saha, Anushka; Chakraborty, Trirupa; Rahimikollu, Javad; Xiao, Hanxi; de Oliveira, Lorena B. Pereira; Hand, Timothy W.; Handali, Sukwan; Secor, W. Evan; Fraga, Lucia A. O.; Fairley, Jessica K.; Das, Jishnu; Sarkar, Aniruddh"
2024,Deep learning guided prediction modeling of dengue virus evolving serotype,10.1016/j.heliyon.2024.e32061,http://dx.doi.org/10.1016/j.heliyon.2024.e32061,"Mumtaz, Zilwa; Rashid, Zubia; Saif, Rashid; Yousaf, Muhammad Zubair"
2024,DeepLeish: a deep learning based support system for the detection of Leishmaniasis parasite from Giemsa-stained microscope images,10.1186/s12880-024-01333-1,http://dx.doi.org/10.1186/s12880-024-01333-1,"Tekle, Eden; Dese, Kokeb; Girma, Selfu; Adissu, Wondimagegn; Krishnamoorthy, Janarthanan; Kwa, Timothy"
2024,Development of prediction models to identify hotspots of schistosomiasis in endemic regions to guide mass drug administration,10.1073/pnas.2315463120,http://dx.doi.org/10.1073/pnas.2315463120,"Singer, Benjamin J.; Coulibaly, Jean T.; Park, Hailey J.; Andrews, Jason R.; Bogoch, Isaac I.; Lo, Nathan C."
2024,Feasibility of ultrasound radiomics based models for classification of liver fibrosis due to Schistosoma japonicum infection,10.1371/journal.pntd.0012235,http://dx.doi.org/10.1371/journal.pntd.0012235,"Guo, Zhaoyu; Zhao, Miaomiao; Liu, Zhenhua; Zheng, Jinxin; Gong, Yanfeng; Huang, Lulu; Xue, Jingbo; Zhou, Xiaonong; Li, Shizhu"
2024,Febrile Phase Soluble Urokinase Plasminogen Activator Receptor and Olfactomedin 4 as Prognostic Biomarkers for Severe Dengue in Adults,10.1093/cid/ciad637,http://dx.doi.org/10.1093/cid/ciad637,"Teo, Andrew; Le, Chau Thuy Tien; Tan, Trevor; Chia, Po Ying; Yeo, Tsin Wen"
2024,Forecasting deep learning-based risk assessment of vector-borne diseases using hybrid methodology,10.3233/THC-240046,http://dx.doi.org/10.3233/THC-240046,"Nanda, Ashok Kumar; Thilagavathy, R.; Devi, G. S. K. Gayatri; Chaturvedi, Abhay; Jalda, Chaitra Sai; Inthiyaz, Syed"
2024,GNN-DDAS: Drug discovery for identifying anti-schistosome small molecules based on graph neural network,10.1002/jcc.27490,http://dx.doi.org/10.1002/jcc.27490,"Zeng, Xin; Feng, Peng-Kun; Li, Shu-Juan; Lv, Shuang-Qing; Wen, Meng-Liang; Li, Yi"
2024,Graph Neural Networks and Molecular Docking as Two Complementary Approaches for Virtual Screening: A Case Study on Cruzain,10.1002/slct.202405342,http://dx.doi.org/10.1002/slct.202405342,"Chavez, Jose Leonardo Gomez; Luchi, Adriano Martin; Villafane, Roxana Noelia; Conti, German Andres; Perez, Ernesto Rafael; Angelina, Emilio Luis; Peruchena, Nelida Maria"
2024,Human-Validated Neural Networks for Precise Amastigote Categorization and Quantification to Accelerate Drug Discovery in Leishmaniasis,10.1021/acsomega.4c08735,http://dx.doi.org/10.1021/acsomega.4c08735,"Sorrilha-Rodrigues, Andrey Gaspar; Paes, Joao Lucas Aparecido Rocha; Rizk, Yasmin Silva; da Silva, Fernanda; Rosalem, Rafael Francisco; de Arruda, Carla Cardozo Pinto; Carollo, Carlos Alexandre"
2024,Impact of climate and land use on the temporal variability of sand fly density in Sri Lanka: A 2-year longitudinal study,10.1371/journal.pntd.0012675,http://dx.doi.org/10.1371/journal.pntd.0012675,"Senanayake, Sanath C.; Liyanage, Prasad; Pathirage, Dulani R. K.; Siraj, M. F. Raushan; De Silva, B. G. D. Nissanka Kolitha; Karunaweera, Nadira D."
2024,Improving dengue fever predictions in Taiwan based on feature selection and random forests,10.1186/s12879-024-09220-4,http://dx.doi.org/10.1186/s12879-024-09220-4,"Kuo, Chao-Yang; Yang, Wei-Wen; Su, Emily Chia-Yu"
2024,"Leveraging Climate Data for Dengue Forecasting in Ba Ria Vung Tau Province, Vietnam: An Advanced Machine Learning Approach",10.3390/tropicalmed9100250,http://dx.doi.org/10.3390/tropicalmed9100250,"Tuan, Dang Anh; Dang, Tran Ngoc"
2024,Machine learning and molecular docking prediction of potential inhibitors against dengue virus,10.3389/fchem.2024.1510029,http://dx.doi.org/10.3389/fchem.2024.1510029,"Hanson, George; Adams, Joseph; Kepgang, Daveson I. B.; Zondagh, Luke S.; Tem Bueh, Lewis; Asante, Andy; Shirolkar, Soham A.; Kisaakye, Maureen; Bondarwad, Hem; Awe, Olaitan I."
